V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;Classification Expert;Classification CAH R
Well-274;239.973;130.0195;114.1734048;79.29402778;66.53128415;61.08980583;59.99910394;53.31693548;44.76652778;37.70725806;53.59754151;41.82585034;39.225;42.65722656;51.51217421;44.03321813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;medium;bad
Well-279;386.7547619;367.8380911;263.1775599;221.9320776;198.1175799;180.0916385;157.3298736;149.0191886;138.1691667;134.2118393;129.1409605;132.9851748;146.7157321;142.5100519;129.5419835;135.2981172;115.769527;111.1332255;107.9069245;103.0627049;98.02814939;96.00687569;98.38066202;100.4550484;107.6179739;89.54646893;93.04938272;92.42310167;0;0;0;0;0;0;0;Good;medium
Well-280;126.4848765;118.645288;100.8862179;92.4077957;81.20538721;79.69865591;75.02986111;71.02083333;67.26623377;68.05688807;63.04697987;59.05263889;57.36414224;55.4087109;52.6860119;51.89576591;49.20253623;49.64201389;24.92444444;34.5356025;43.0474359;26.84490741;35.95174731;34.99083333;21.47076503;23.43569444;26.59389881;27.88454301;25.57027778;33.72379032;30.02666667;28.63346774;30.69871795;26.17166667;23.50026882;bad;bad
Well-281;106.2254073;70.35446643;53.54420152;46.95399023;38.82129329;35.49371345;32.41666667;29.77104236;28.6639698;27.23009737;24.98661252;22.51687207;20.22025862;18.06653226;19.58482143;23.36446886;17.17150171;16.77090348;15.98487349;15.05480226;15.0690753;16.13966837;21.22977053;16.07317073;13.17907801;14.18801531;13.39961447;12.09423937;10.80440199;10.11917563;11.46417866;16.99388379;17.1838685;9.346520763;9.344444444;bad;bad
Well-282;448.3467742;389.731264;272.2665278;217.6518817;194.5715054;175.6988889;188.9289054;174.0277778;164.1823925;145.2094086;111.3541667;109.1602132;113.2770692;112.449328;112.0961111;106.5240591;108.7212269;108.8113469;102.9260315;97.46972222;94.68357684;92.7655914;97.43741427;92.60416667;86.98425926;65.50774854;62.56416063;63.77197266;63.26251526;58.53514235;55.125;53.39353448;46.96236559;53.60078463;53.90610119;Good;medium
Well-283;93.34981685;68.01486111;60.40533981;89.87200855;58.65038002;87.84252451;73.16923868;49.9130117;42.09419585;44.33724832;41.94773392;82.27743902;98.96393281;55.16573557;88.65110442;56.34153226;47.41375;40.68897849;39.39641204;35.85504886;32.96609477;29.47727273;98.96621622;42.26789709;31.57874865;33.26663373;27.16585761;25.85935814;25.39777778;24.43051075;23.91388889;22.30798274;22.45551075;22.24702381;22.34196429;bad;bad
Well-284;161.0361111;363.8952381;244.9631971;275.9178161;263.6745818;235.6615954;219.1491667;205.5438312;208.3035244;192.5535519;181.545184;178.2775447;163.3379032;196.329845;195.2251082;162.3073266;158.8949653;146.7573052;145.2800615;146.3968056;168.4957025;141.4178842;133.2016129;130.1781944;127.3151294;124.44;122.3949569;119.4049731;117.646875;117.2305649;117.7955594;116.855239;136.8028233;142.2810345;86.16176471;Good;Good
Well-285;98.59375;145.440812;96.14739583;72.30887097;66.02647715;61.51290323;53.40616667;54.79057496;46.31357527;48.22708333;46.6911526;46.18951613;47.02678571;31.15033223;31.80387205;33.31357527;45.17450306;43.97524929;46.40753119;42.79550209;40.1375;39.28482003;38.72822581;46.03212366;47.74747024;46.23252688;49.51375;32.32607527;32.26972222;30.46061828;32.52361111;27.92166667;25.68051075;26.89138889;24.5594086;bad;bad
Well-286;225.439693;207.6968391;160.6634903;147.145977;140.8341866;129.9116484;118.5937158;110.8833333;108.634153;98.67694257;100.5394582;103.6734349;112.47793;99.03060345;88.01714047;90.59777778;87.59102564;86.00995277;74.53870011;74.28271812;76.0739071;77.19662921;82.43575697;95.63976378;74.90310403;72.58500557;72.15426759;0;0;0;0;0;0;0;0;medium;medium
Well-287;151.9133333;193.6791814;102.6814173;102.9704132;94.76403509;73.56099232;69.79615162;61.00651659;46.11369347;40.9407277;41.04225768;41.93137255;42.03623188;96.41071429;41.20363409;38.02905329;30.83027778;32.79222222;29.57804487;28.43251174;19.9891129;17.10597222;21.35326689;22.19833333;21.94502688;21.73037634;21.14827586;15.89583333;16.58347222;23.19502688;20.98069444;21.65403226;20.81922043;18.95366667;17.00744048;bad;bad
Well-288;673.7192982;322.9535985;201.5021478;163.9068287;141.3113118;90.80376788;86.31139184;67.38069544;60.29058792;50.72944631;54.72877847;56.1751634;47.4881376;46.00349462;49.73629944;47.88627613;47.25028058;45.81263441;42.54840885;40.30550595;38.64334471;43.4797619;56.9691911;51.51101695;45.22594086;46.23252688;56.81794294;54.30901361;40.51208333;38.47540323;38.58037634;39.57309028;28.81337136;35.86833333;34.56595941;Good;medium
Well-289;174.5107639;148.4585;87.38405797;83.99608954;106.6588542;54.61627907;38.28066557;27.37458054;36.86774194;44.15587798;37.304;40.8335041;42.53996018;44.62307692;36.71238426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;medium;bad
Well-290;215.1807292;259.5657216;221.7298066;184.9107143;150.3474462;128.1225;112.6258065;100.7676389;90.91511299;65.77395833;60.03163322;60.44905914;54.87722222;56.5561828;42.26502976;57.45643154;52.37231183;52.89055556;51.60749186;60.07874618;68.41040773;40.25925926;89.58458084;94.03026071;30.87196181;0;0;0;0;0;0;0;0;0;0;Good;medium
Well-291;398.4227308;178.8932292;188.8213848;163.3800713;141.1504065;130.6397849;118.2006014;112.6688963;99.58984375;93.96860119;94.02539841;94.73126911;81.04404762;78.39630529;72.65002796;81.2915305;76.45356094;69.57205721;67.77042749;58.70763889;50.26320132;47.06607744;47.25336022;46.37257282;43.88778736;45.11612903;46.05045455;50.65967742;48.67083333;45.91290323;46.95765251;48.49153386;47.72694175;43.36638889;42.97437972;medium;medium
Well-292;117.4620833;152.3173611;114.6990278;94.80739247;86.42236111;81.54973118;93.51895425;78.10097222;74.43185484;71.32263889;69.44944444;67.58602151;66.20208333;64.81424731;62.77753995;60.13087432;99.26808176;60.69757433;60.84031792;65.12798875;97.05223005;82.50442478;0;0;0;0;0;0;0;0;0;0;0;0;0;medium;bad
Well-293;168.65625;152.3756061;124.81661;89.95156438;107.7317251;86.13119369;83.86066017;84.37032164;78.42486559;61.97540509;75.23498878;66.01663773;55.97342995;60.28786232;51.5610119;61.91047705;51.23212366;44.63881803;34.31675317;33.42630385;31.36087329;35.02163462;31.52511223;30.7393736;28.7509887;27.71745643;27.08433908;28.0322327;31.79316143;32.39855837;30.62655473;32.08428753;30.03643911;29.78070988;46.63686343;medium;bad
Well-294;86.33125;131.9625336;107.6230159;97.59825269;102.1480556;95.48481183;90.52399481;64.69742489;67.34260753;69.97194444;26.20602606;69.6516129;66.67339884;52.07177419;45.93030842;46.86693548;45.95458333;46.92589389;43.35925926;38.50169492;42.94556452;36.62130615;37.10846995;37.75497312;41.74732143;43.31765233;42.53333333;40.68897849;41.56222222;40.37839305;42.0432423;38.66847222;34.12014563;36.60291667;34.91169355;medium;bad
Well-296;145.1283701;68.5159396;96.73670757;46.31780167;34.8825;42.51558524;45.12247024;50.83615591;43.3870915;35.85681818;28.25208333;27.41223118;47.64462366;49.83459596;39.04111296;33.14722222;38.62325269;38.60416667;38.63002874;25.58305369;32.24705387;41.43803763;32.08736111;46.95765251;28.04193548;44.97455357;43.73611111;38.75222222;38.68051075;38.42768817;17.51448413;12.74305556;17.12583333;8.49609375;8.626388889;bad;bad
Well-297;120.3204607;76.13631687;70.27833333;80.03333333;52.25259336;32.28557692;62.125;50.05540293;31.94437984;25.77034121;23.1228278;17.44758598;22.87296366;17.25390625;17.38565891;15.6982582;14.36299435;13.775;13.70601852;18.33643018;22.74324324;20.88950893;20.14313272;19.31267507;22.41790429;17.29622396;19.34210526;38.45185185;22.85568182;5.925134409;5.393055556;5.838095238;6.629708904;4.622792494;5.70094086;bad;bad
